Country,Retracted_Count,Total_Publications,Retraction_Rate
China,6817,10372322.0,0.0006572298854586273
India,1405,2970196.0,0.00047303275608747704
Saudi Arabia,352,419090.0,0.0008399150540456704
United States,253,16047770.0,1.5765430337049946e-05
South Korea,211,1604519.0,0.0001315035845633489
Malaysia,179,502815.0,0.00035599574396149675
Iran,169,886359.0,0.00019066766400521685
Pakistan,156,328610.0,0.00047472687988801317
Ethiopia,149,66363.0,0.002245227009026114
United Kingdom,122,4778980.0,2.5528460047960024e-05
Taiwan,119,880380.0,0.00013516890433676367
Unknown,95,,
Russia,82,1722547.0,4.760392604672035e-05
Iraq,81,126881.0,0.0006383934552848732
Egypt,71,389675.0,0.0001822031179829345
Turkey,65,919863.0,7.06626965102412e-05
Bangladesh,65,108707.0,0.0005979375753171369
Australia,51,2009795.0,2.537572239954821e-05
Jordan,40,82514.0,0.0004847662214896866
Italy,37,2525870.0,1.4648418168789368e-05
Canada,36,2426840.0,1.4834105256217962e-05
Thailand,35,305015.0,0.00011474845499401669
Philippines,34,68595.0,0.0004956629491945477
Japan,33,3482279.0,9.47655256801652e-06
Colombia,32,187928.0,0.00017027797880039163
Serbia,31,142159.0,0.00021806568701242975
Indonesia,31,376908.0,8.224818788669914e-05
Spain,29,1986724.0,1.4596894183590676e-05
Norway,27,464965.0,5.8068886905466e-05
Germany,27,4104599.0,6.5779872771980895e-06
Vietnam,24,139043.0,0.00017260847363765165
United Arab Emirates,24,124488.0,0.000192789666473877
Ghana,23,47904.0,0.000480126920507682
Peru,22,64597.0,0.00034057309162964224
Kyrgyzstan,20,5818.0,0.0034376074252320385
France,20,2784321.0,7.1830798244886274e-06
Oman,18,37402.0,0.000481257686754719
Yemen,16,11585.0,0.0013810962451445835
Kuwait,16,39905.0,0.0004009522616213507
Nepal,16,31245.0,0.0005120819331092975
Tunisia,16,134434.0,0.00011901751045122514
Belgium,15,739211.0,2.0291905829323428e-05
Qatar,14,55757.0,0.000251089549294259
Singapore,13,432121.0,3.0084166240474313e-05
Afghanistan,13,4029.0,0.003226607098535617
Denmark,12,571552.0,2.0995464979564415e-05
Kazakhstan,12,55445.0,0.00021643069708720354
Netherlands,11,1343844.0,8.185473909173982e-06
Honduras,10,3353.0,0.0029824038174768863
Nigeria,10,175445.0,5.6997919575935476e-05
Sudan,10,17039.0,0.0005868889019308644
Switzerland,8,1001958.0,7.984366610177273e-06
Romania,8,299401.0,2.672001763521164e-05
Algeria,8,116123.0,6.889246746983802e-05
South Africa,8,448391.0,1.7841571307185022e-05
Tanzania,8,31237.0,0.00025610654032077345
Mexico,7,483821.0,1.4468160745399641e-05
Bahrain,7,14752.0,0.00047451193058568327
Brazil,7,1427852.0,4.902468883329645e-06
Lebanon,7,57050.0,0.0001226993865030675
Georgia,6,31114.0,0.00019283923635662404
Hong Kong,6,461423.0,1.3003252980453943e-05
Brunei (Brunei Darussalam),6,9533.0,0.0006293926361061575
Czech Republic,6,468680.0,1.2801911752154988e-05
Greece,5,447972.0,1.1161411873956408e-05
Burundi,5,1282.0,0.0039001560062402497
Morocco,5,122005.0,4.098192697020614e-05
New Zealand,5,342097.0,1.4615737641663037e-05
Cyprus,5,49781.0,0.00010043992687973324
Mongolia,5,9038.0,0.0005532197388802832
Israel,5,514345.0,9.721101595232771e-06
Azerbaijan,5,24299.0,0.00020576978476480513
Poland,5,964968.0,5.18151897264987e-06
Macau,4,35359.0,0.00011312537119262423
Myanmar (formerly Burma),4,7033.0,0.0005687473339968719
Slovakia,4,162757.0,2.4576515910221987e-05
Sweden,4,908607.0,4.402343367374453e-06
Ireland,4,309576.0,1.2920898260847094e-05
Finland,3,466403.0,6.432205624749412e-06
Uzbekistan,3,30182.0,9.939699158438804e-05
Argentina,3,297251.0,1.009248076541374e-05
Papua New Guinea,3,4484.0,0.0006690454950936663
Bosnia & Herzegovina,3,22802.0,0.00013156740636786248
Portugal,3,485426.0,6.180138682312031e-06
Botswana,3,12752.0,0.00023525721455457967
Austria,3,557479.0,5.3813686255446395e-06
Slovenia,2,136232.0,1.468083856949909e-05
Hungary,2,268747.0,7.441943537974377e-06
Kenya,2,61619.0,3.2457521219104496e-05
Lithuania,2,79503.0,2.5156283410688904e-05
Libya,2,10360.0,0.00019305019305019305
Venezuela,2,48729.0,4.104332122555357e-05
Belarus,2,53486.0,3.739296264443032e-05
Lesotho,2,1419.0,0.0014094432699083862
North Macedonia (formerly Macedonia),2,18164.0,0.00011010790574763268
Chile,2,244520.0,8.179290037624733e-06
Malawi,2,13309.0,0.0001502742505071756
U,1,,
Ecuador,1,51197.0,1.9532394476238843e-05
Cook Islands,1,144.0,0.006944444444444444
Cuba,1,52870.0,1.8914318138831094e-05
Ukraine,1,302055.0,3.3106553442253892e-06
Barbados,1,3283.0,0.0003045994517209869
Chad,1,1066.0,0.0009380863039399625
Faroe Islands,1,1400.0,0.0007142857142857143
Sri Lanka,1,39260.0,2.5471217524197657e-05
Estonia,1,62678.0,1.5954561409106862e-05
Democratic Republic of the Congo,1,4074.0,0.0002454590083456063
Liberia,1,1624.0,0.0006157635467980296
Armenia,1,24346.0,4.1074509159615545e-05
Maldives,1,831.0,0.0012033694344163659
Eritrea,1,1036.0,0.0009652509652509653
Syria,1,12639.0,7.912018355882586e-05
